Start: 2015-06-22_00-09-07 
  Size       AUC
1 2249 0.7769412
elapsed 
 20.852 
': False, 'model_file': '/Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_2_tr.csv.pkl', 'bootstrap_seed': None, 'test_data_file': '/Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_2_test.csv', 'train_filter': {}, 'test_metric': 'auc', 'test_pred_file': '/Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_2_test_pred.csv', 'model_type': 'GradientBoostingClassifier', 'load_model': False, 'test_data_file2': None, 'load_type': 'fit_more', 'test_pred_file2': None, 'skip_mapping': True, 'fit_args': {'loss': 'deviance', 'verbose': 50, 'learning_rate': 0.0035, 'n_estimators': 1000, 'subsample': 1, 'random_state': 788942, 'max_features': 8, 'max_depth': 7}, 'metric_type': 'auto', 'weight_col': None, 'train_data_file': '/Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_2_tr.csv', 'na_fill_value': -20000}
Loading /Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_2_tr.csv raw file
Saving /Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_2_tr.csv.bin.pkl cache file
Train has 7981 instances (was 7981 before filtering)
      Iter       Train Loss   Remaining Time 
         1           0.4886           21.04s
         2           0.4873           18.87s
         3           0.4861           17.43s
         4           0.4850           17.13s
         5           0.4839           16.97s
         6           0.4827           16.75s
         7           0.4816           16.70s
         8           0.4805           16.45s
         9           0.4795           16.31s
        10           0.4784           16.42s
        11           0.4774           16.13s
        12           0.4765           16.03s
        13           0.4755           16.14s
        14           0.4746           16.07s
        15           0.4735           15.94s
        16           0.4724           16.04s
        17           0.4715           15.96s
        18           0.4705           15.93s
        19           0.4695           16.15s
        20           0.4686           16.35s
        21           0.4677           16.25s
        22           0.4667           16.31s
        23           0.4658           16.27s
        24           0.4649           16.30s
        25           0.4640           16.30s
        26           0.4631           16.44s
        27           0.4622           16.77s
        28           0.4614           16.92s
        29           0.4606           16.90s
        30           0.4597           17.05s
        31           0.4589           17.00s
        32           0.4580           17.06s
        33           0.4572           16.99s
        34           0.4563           16.93s
        35           0.4555           16.95s
        36           0.4547           16.98s
        37           0.4539           16.92s
        38           0.4531           16.94s
        39           0.4524           16.86s
        40           0.4516           16.81s
        41           0.4508           16.78s
        42           0.4500           16.76s
        43           0.4493           16.73s
        44           0.4486           16.70s
        45           0.4478           16.68s
        46           0.4471           16.68s
        47           0.4464           16.65s
        48           0.4456           16.59s
        49           0.4449           16.59s
        50           0.4442           16.53s
        51           0.4435           16.51s
        52           0.4427           16.50s
        53           0.4420           16.52s
        54           0.4413           16.49s
        55           0.4406           16.45s
        56           0.4399           16.42s
        57           0.4392           16.41s
        58           0.4386           16.36s
