Start: 2015-06-22_00-09-26 
  Size       AUC
1 2392 0.7835637
elapsed 
 16.953 
': False, 'model_file': '/Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_4_tr.csv.pkl', 'bootstrap_seed': None, 'test_data_file': '/Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_4_test.csv', 'train_filter': {}, 'test_metric': 'auc', 'test_pred_file': '/Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_4_test_pred.csv', 'model_type': 'GradientBoostingClassifier', 'load_model': False, 'test_data_file2': None, 'load_type': 'fit_more', 'test_pred_file2': None, 'skip_mapping': True, 'fit_args': {'loss': 'deviance', 'verbose': 50, 'learning_rate': 0.0035, 'n_estimators': 1000, 'subsample': 1, 'random_state': 788942, 'max_features': 8, 'max_depth': 7}, 'metric_type': 'auto', 'weight_col': None, 'train_data_file': '/Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_4_tr.csv', 'na_fill_value': -20000}
Loading /Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_4_tr.csv raw file
Saving /Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_4_tr.csv.bin.pkl cache file
Train has 7811 instances (was 7811 before filtering)
      Iter       Train Loss   Remaining Time 
       188           0.2391           14.16s
       189           0.2389           14.14s
       190           0.2386           14.12s
       191           0.2384           14.10s
       192           0.2381           14.10s
       193           0.2379           14.08s
       194           0.2377           14.07s
       195           0.2375           14.06s
       196           0.2372           14.04s
       197           0.2370           14.01s
       198           0.2368           13.99s
       199           0.2365           13.97s
       200           0.2363           13.95s
       201           0.2361           13.93s
       202           0.2359           13.91s
       203           0.2356           13.88s
       204           0.2354           13.86s
       205           0.2352           13.83s
       206           0.2349           13.81s
       207           0.2347           13.80s
       208           0.2345           13.77s
       209           0.2343           13.76s
       210           0.2340           13.74s
       211           0.2338           13.71s
       212           0.2336           13.69s
       213           0.2333           13.66s
       214           0.2331           13.64s
       215           0.2328           13.62s
       216           0.2327           13.60s
       217           0.2324           13.58s
       218           0.2322           13.55s
       219           0.2320           13.53s
       220           0.2317           13.52s
       221           0.2315           13.49s
       222           0.2313           13.47s
       223           0.2310           13.45s
       224           0.2308           13.43s
       225           0.2307           13.40s
       226           0.2305           13.38s
       227           0.2302           13.36s
       228           0.2300           13.34s
       229           0.2298           13.31s
       230           0.2296           13.30s
       231           0.2293           13.28s
       232           0.2291           13.27s
       233           0.2290           13.24s
       234           0.2287           13.22s
       235           0.2285           13.20s
       236           0.2284           13.17s
       237           0.2282           13.15s
       238           0.2280           13.13s
       239           0.2278           13.11s
       240           0.2276           13.10s
       241           0.2274           13.07s
       242           0.2272           13.06s
       243           0.2270           13.03s
       244           0.2268           13.01s
       245           0.2266           12.98s
