Start: 2015-06-22_00-09-07 
  Size       AUC
1 2054 0.7665577
elapsed 
 21.417 
': False, 'model_file': '/Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_3_tr.csv.pkl', 'bootstrap_seed': None, 'test_data_file': '/Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_3_test.csv', 'train_filter': {}, 'test_metric': 'auc', 'test_pred_file': '/Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_3_test_pred.csv', 'model_type': 'GradientBoostingClassifier', 'load_model': False, 'test_data_file2': None, 'load_type': 'fit_more', 'test_pred_file2': None, 'skip_mapping': True, 'fit_args': {'loss': 'deviance', 'verbose': 50, 'learning_rate': 0.0035, 'n_estimators': 1000, 'subsample': 1, 'random_state': 788942, 'max_features': 8, 'max_depth': 7}, 'metric_type': 'auto', 'weight_col': None, 'train_data_file': '/Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_3_tr.csv', 'na_fill_value': -20000}
Loading /Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_3_tr.csv raw file
Saving /Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_3_tr.csv.bin.pkl cache file
Train has 8251 instances (was 8251 before filtering)
      Iter       Train Loss   Remaining Time 
         1           0.4519           22.97s
         2           0.4505           19.52s
         3           0.4491           18.04s
         4           0.4479           17.53s
         5           0.4469           16.83s
         6           0.4457           16.54s
         7           0.4444           16.54s
         8           0.4433           16.43s
         9           0.4422           16.30s
        10           0.4410           16.47s
        11           0.4399           16.40s
        12           0.4388           16.26s
        13           0.4378           16.40s
        14           0.4368           16.23s
        15           0.4357           16.25s
        16           0.4345           16.23s
        17           0.4335           16.23s
        18           0.4325           16.27s
        19           0.4316           16.35s
        20           0.4306           16.40s
        21           0.4295           16.53s
        22           0.4285           16.64s
        23           0.4275           16.71s
        24           0.4266           16.79s
        25           0.4257           16.79s
        26           0.4249           16.95s
        27           0.4240           17.09s
        28           0.4232           17.37s
        29           0.4222           17.49s
        30           0.4214           17.43s
        31           0.4206           17.44s
        32           0.4196           17.53s
        33           0.4188           17.64s
        34           0.4180           17.58s
        35           0.4172           17.51s
        36           0.4163           17.44s
        37           0.4154           17.39s
        38           0.4146           17.41s
        39           0.4138           17.31s
        40           0.4131           17.24s
        41           0.4123           17.21s
        42           0.4114           17.14s
        43           0.4107           17.11s
        44           0.4100           17.03s
        45           0.4092           16.98s
        46           0.4085           16.92s
        47           0.4077           16.88s
        48           0.4069           16.83s
        49           0.4062           16.79s
        50           0.4054           16.74s
        51           0.4048           16.73s
        52           0.4041           16.69s
        53           0.4034           16.66s
        54           0.4026           16.63s
        55           0.4019           16.61s
        56           0.4012           16.55s
        57           0.4005           16.49s
        58           0.3998           16.48s
